Data	Max	MSE	Diag	Hessian	OBQAware
bloom-560m/12.mlp.dense_4h_to_h	0.29621368646621704	0.006956483703106642	0.006970544811338186	0.007279331795871258	0.0068785278126597404
bloom-560m/12.mlp.dense_h_to_4h	1.1790707111358643	0.13693399727344513	0.13807183504104614	0.13521072268486023	0.12530282139778137
bloom-560m/12.self_attention.dense	0.05847712233662605	0.002904580207541585	0.0029295068234205246	0.002962665632367134	0.002867746166884899
bloom-560m/12.self_attention.query_key_value	3.0612685680389404	0.9729970097541809	0.5540440082550049	0.5120070576667786	0.44071492552757263
bloom-560m/13.mlp.dense_4h_to_h	0.29522427916526794	0.006774470210075378	0.006779009476304054	0.0070439232513308525	0.006710132583975792
bloom-560m/13.mlp.dense_h_to_4h	1.291517972946167	0.1429300308227539	0.14234353601932526	0.1380976438522339	0.1301809847354889
bloom-560m/13.self_attention.dense	0.06357263028621674	0.002965374384075403	0.002972210990265012	0.0030818781815469265	0.002920274157077074
bloom-560m/13.self_attention.query_key_value	2.780848741531372	0.6301822066307068	0.47018852829933167	0.46388664841651917	0.37485554814338684
bloom-560m/14.mlp.dense_4h_to_h	0.30774059891700745	0.007106550503522158	0.007099009118974209	0.007484188303351402	0.007017418742179871
bloom-560m/14.mlp.dense_h_to_4h	1.3660303354263306	0.13958460092544556	0.14057469367980957	0.13812747597694397	0.12972378730773926
bloom-560m/14.self_attention.dense	0.0509834885597229	0.0026012070011347532	0.0026188758201897144	0.0026316409930586815	0.0025569265708327293
bloom-560m/14.self_attention.query_key_value	2.9025561809539795	0.5870468020439148	0.4597198963165283	0.4563020169734955	0.36558961868286133
bloom-560m/15.mlp.dense_4h_to_h	0.3146374225616455	0.00759096397086978	0.007549796253442764	0.007941758260130882	0.007469912059605122
bloom-560m/15.mlp.dense_h_to_4h	1.3757975101470947	0.14268633723258972	0.14304757118225098	0.1402566283941269	0.13157358765602112
bloom-560m/15.self_attention.dense	0.05894596502184868	0.0026004756800830364	0.002596709644421935	0.0026804422959685326	0.0025420396123081446
bloom-560m/15.self_attention.query_key_value	2.7288284301757812	0.5808764696121216	0.4315415322780609	0.42740440368652344	0.3625149726867676
bloom-560m/16.mlp.dense_4h_to_h	0.3803883194923401	0.008443279191851616	0.008422947488725185	0.00885152630507946	0.008349964395165443
bloom-560m/16.mlp.dense_h_to_4h	1.2541751861572266	0.14166957139968872	0.1444564163684845	0.1411365270614624	0.13204306364059448
bloom-560m/16.self_attention.dense	0.058111682534217834	0.0028264233842492104	0.0028641808312386274	0.0028754868544638157	0.002772710984572768
bloom-560m/16.self_attention.query_key_value	2.9645488262176514	0.6207594275474548	0.47396811842918396	0.4724311828613281	0.404665470123291
bloom-560m/17.mlp.dense_4h_to_h	0.49341392517089844	0.009798229672014713	0.009808478876948357	0.010256372392177582	0.00964969489723444
bloom-560m/17.mlp.dense_h_to_4h	1.3464319705963135	0.14180083572864532	0.14511290192604065	0.14118289947509766	0.13109558820724487
bloom-560m/17.self_attention.dense	0.061572231352329254	0.003043600358068943	0.0031929221004247665	0.0031255329959094524	0.002915545366704464
bloom-560m/17.self_attention.query_key_value	2.390211343765259	0.5035109519958496	0.3943987786769867	0.3831826150417328	0.34393587708473206
bloom-560m/18.mlp.dense_4h_to_h	0.610458254814148	0.011478481814265251	0.011473357677459717	0.012049278244376183	0.011347400024533272
bloom-560m/18.mlp.dense_h_to_4h	1.429242730140686	0.14826032519340515	0.15099456906318665	0.14595647156238556	0.13550950586795807
bloom-560m/18.self_attention.dense	0.08543240278959274	0.0038787354715168476	0.003919854760169983	0.0038977188523858786	0.0036929261405020952
bloom-560m/18.self_attention.query_key_value	2.4492197036743164	1.1159793138504028	0.4983910024166107	0.4571889638900757	0.4010895788669586
bloom-560m/19.mlp.dense_4h_to_h	0.8136736154556274	0.013872048817574978	0.013783344998955727	0.014803978614509106	0.013580958358943462
bloom-560m/19.mlp.dense_h_to_4h	1.446218729019165	0.15304912626743317	0.15523622930049896	0.15171997249126434	0.14008113741874695
bloom-560m/19.self_attention.dense	0.09634409844875336	0.004899165593087673	0.005092837382107973	0.005193764343857765	0.004724075086414814
bloom-560m/19.self_attention.query_key_value	2.6049110889434814	0.6815056800842285	0.4716993570327759	0.4781407415866852	0.39232316613197327
bloom-560m/2.mlp.dense_4h_to_h	0.20121122896671295	0.0049736471846699715	0.004984013736248016	0.0051403045654296875	0.004769069142639637
bloom-560m/2.mlp.dense_h_to_4h	1.2782436609268188	0.13848777115345	0.13702306151390076	0.12491480261087418	0.11573914438486099
bloom-560m/2.self_attention.dense	0.014211364090442657	0.0011408263817429543	0.0010664314031600952	0.0009340689284726977	0.0008572837105020881
bloom-560m/2.self_attention.query_key_value	0.814379870891571	0.12897510826587677	0.1273084431886673	0.12002145498991013	0.11603773385286331
bloom-560m/20.mlp.dense_4h_to_h	1.300370454788208	0.026732269674539566	0.020941931754350662	0.025602225214242935	0.019152525812387466
bloom-560m/20.mlp.dense_h_to_4h	1.4299699068069458	0.16977408528327942	0.16883017122745514	0.1604205220937729	0.14687708020210266
bloom-560m/20.self_attention.dense	0.19787253439426422	0.01255064271390438	0.009405158460140228	0.00985538586974144	0.0081706577911973
bloom-560m/20.self_attention.query_key_value	2.9988889694213867	0.7384467720985413	0.5076128244400024	0.5214292407035828	0.42955923080444336
bloom-560m/21.mlp.dense_4h_to_h	2.7097811698913574	0.2269507199525833	0.04971726983785629	0.08127987384796143	0.03723038733005524
bloom-560m/21.mlp.dense_h_to_4h	1.1575697660446167	0.18162056803703308	0.18194454908370972	0.17199835181236267	0.1516132652759552
bloom-560m/21.self_attention.dense	0.41466814279556274	0.26487356424331665	0.03533950448036194	0.036269377917051315	0.024768700823187828
bloom-560m/21.self_attention.query_key_value	3.294874906539917	0.9556682705879211	0.6345431804656982	0.6114961504936218	0.4709254205226898
bloom-560m/22.mlp.dense_4h_to_h	2.5215554237365723	0.047513823956251144	0.04268493875861168	0.05162333697080612	0.036917656660079956
bloom-560m/22.mlp.dense_h_to_4h	1.433699369430542	0.2236364483833313	0.2665880620479584	0.2361411154270172	0.14041492342948914
bloom-560m/22.self_attention.dense	0.47438734769821167	0.4817597270011902	0.05615192651748657	0.04747377336025238	0.037978000938892365
