Data	Standard	Correction	Scaling	SleekitLight	SleekitHeavy
bloom-560m/11.self_attention.query_key_value	0.3796575367450714	0.29027512669563293	0.15401023626327515	0.1446778029203415	0.11281421035528183
bloom-560m/12.mlp.dense_4h_to_h	0.003545760177075863	0.003501615487039089	0.003548108506947756	0.0034184171818196774	0.0031786875333637
bloom-560m/12.mlp.dense_h_to_4h	0.05908721685409546	0.057195913046598434	0.06115442514419556	0.05726645141839981	0.049118295311927795
bloom-560m/12.self_attention.dense	0.0014499088283628225	0.0014407753478735685	0.0014553352957591414	0.0014153524534776807	0.0012879181886091828
bloom-560m/12.self_attention.query_key_value	0.48748263716697693	0.337890625	0.19920845329761505	0.18308782577514648	0.14290975034236908
bloom-560m/13.mlp.dense_4h_to_h	0.0034878128208220005	0.003439466468989849	0.0035014222376048565	0.0033316677436232567	0.003140116110444069
bloom-560m/13.mlp.dense_h_to_4h	0.06203491985797882	0.05969487503170967	0.06390739232301712	0.05977673828601837	0.05162574350833893
bloom-560m/13.self_attention.dense	0.001513181021437049	0.0015078337164595723	0.0015250968281179667	0.0014785612002015114	0.0013415201101452112
bloom-560m/13.self_attention.query_key_value	0.3531225919723511	0.3074972331523895	0.19098971784114838	0.17694596946239471	0.13640442490577698
bloom-560m/14.mlp.dense_4h_to_h	0.003653579391539097	0.0036085518077015877	0.0036493081133812666	0.003499438986182213	0.0033079837448894978
bloom-560m/14.mlp.dense_h_to_4h	0.06219220533967018	0.06029481440782547	0.06383079290390015	0.06032644212245941	0.05229569599032402
bloom-560m/14.self_attention.dense	0.00127249991055578	0.001262738136574626	0.0012742857215926051	0.0012581738410517573	0.0011223789770156145
