Data	Max	MSE	Diag	Hessian	OBQAware
opt-125m/0.fc2	0.0010035125305876136	0.010809067636728287	0.000573646801058203	0.000455039698863402	0.00018972321413457394
opt-125m/0.self_attn.k_proj	0.23186834156513214	0.293854683637619	0.1150347962975502	0.10778192430734634	0.09201455861330032
opt-125m/0.self_attn.out_proj	0.0001303287863265723	6.786802259739488e-05	4.92458748340141e-05	3.63551480404567e-05	2.832902282534633e-05
opt-125m/0.self_attn.q_proj	0.1736477166414261	0.16823141276836395	0.0819341316819191	0.0774264931678772	0.06922037154436111
opt-125m/0.self_attn.v_proj	0.003825659630820155	0.0015291012823581696	0.0011063673300668597	0.0011325202649459243	0.0009453858365304768
opt-125m/1.fc1	0.010449458844959736	0.0024284333921968937	0.004483893513679504	0.002805891679599881	0.002159444149583578
opt-125m/1.fc2	0.0016017748275771737	0.0012660581851378083	0.00098831532523036	0.0006450233631767333	0.00015354144852608442
opt-125m/1.self_attn.k_proj	0.12638811767101288	0.24141381680965424	0.07108154892921448	0.06874027848243713	0.046583663672208786
opt-125m/1.self_attn.out_proj	0.00019988528219982982	3.4900676837423816e-05	2.8160882720840164e-05	3.3141797757707536e-05	2.5054841898963787e-05
opt-125m/1.self_attn.q_proj	0.10963322967290878	0.12956254184246063	0.04676644876599312	0.04438688978552818	0.031102009117603302
opt-125m/1.self_attn.v_proj	0.0038571313489228487	0.0018949642544612288	0.0016585905104875565	0.001621067407540977	0.0013258466497063637
opt-125m/10.fc1	0.02958030253648758	0.008004043251276016	0.008059348911046982	0.008106408640742302	0.007494115736335516
opt-125m/10.fc2	0.015187922865152359	0.001100663561373949	0.0011008252622559667	0.0011459185043349862	0.0010600826935842633
opt-125m/10.self_attn.k_proj	0.6689520478248596	0.5480932593345642	0.29056093096733093	0.27942705154418945	0.24352912604808807
opt-125m/10.self_attn.out_proj	0.001741862273775041	0.0003693766484502703	0.00037508292007260025	0.0003828230837825686	0.0003613975422922522
opt-125m/10.self_attn.q_proj	0.4308246672153473	0.26930031180381775	0.16232730448246002	0.15773315727710724	0.1463925689458847
opt-125m/10.self_attn.v_proj	0.05841566249728203	0.014311020262539387	0.014522303827106953	0.014860644936561584	0.01401277631521225
opt-125m/11.fc1	0.07174281775951385	0.012270697392523289	0.01357491035014391	0.011515569873154163	0.009583644568920135
opt-125m/11.fc2	0.027773693203926086	0.021619321778416634	0.02155660279095173	0.0020264105405658484	0.0015977993607521057
opt-125m/11.self_attn.k_proj	0.5589430928230286	0.20008467137813568	0.1471710056066513	0.14557500183582306	0.13714522123336792
opt-125m/11.self_attn.out_proj	0.0035680222790688276	0.0010544090764597058	0.0009537979494780302	0.000944141298532486	0.0008825192344374955
opt-125m/11.self_attn.q_proj	0.38668200373649597	0.09786039590835571	0.08650358766317368	0.08641335368156433	0.08214544504880905
opt-125m/11.self_attn.v_proj	0.08038888871669769	0.016993990167975426	0.0170272346585989	0.017457619309425354	0.016682803630828857
opt-125m/2.fc1	0.013648505322635174	0.002769242040812969	0.00448714941740036	0.002810101956129074	0.0024453348014503717
opt-125m/2.fc2	0.0016350789228454232	0.009287604130804539	0.0012225309619680047	0.00027927744667977095	0.00019380338198971003
opt-125m/2.self_attn.k_proj	0.2195879966020584	0.5078817009925842	0.22729866206645966	0.18978464603424072	0.09698400646448135
opt-125m/2.self_attn.out_proj	0.00014109960466157645	1.847894054662902e-05	2.1351928808144294e-05	2.019002931774594e-05	1.779056037776172e-05
opt-125m/2.self_attn.q_proj	0.1816549301147461	0.5358218550682068	0.16015146672725677	0.14005573093891144	0.07208949327468872
opt-125m/2.self_attn.v_proj	0.008371029049158096	0.00287358439527452	0.005281632300466299	0.004622191656380892	0.002607794478535652
opt-125m/3.fc1	0.00904978159815073	0.0020522279664874077	0.0025394551921635866	0.002248346572741866	0.0018841810524463654
opt-125m/3.fc2	0.0015432446962222457	0.0006132512935437262	0.00043101198389194906	0.00023489473096560687	0.00017006159760057926
opt-125m/3.self_attn.k_proj	0.1734943836927414	1.336255431175232	0.1422286033630371	0.1601913422346115	0.07770051807165146
opt-125m/3.self_attn.out_proj	0.00013900200428906828	2.1757934518973343e-05	2.222500006610062e-05	2.2242937120608985e-05	2.0923869669786654e-05
opt-125m/3.self_attn.q_proj	0.17577636241912842	1.1575790643692017	0.13613781332969666	0.15708474814891815	0.07494375854730606
opt-125m/3.self_attn.v_proj	0.014700894244015217	0.006960590835660696	0.010518710128962994	0.00971741508692503	0.0060875266790390015
opt-125m/4.fc1	0.012471643276512623	0.0033901638817042112	0.004236868117004633	0.003596936585381627	0.0029451390728354454
